Name,Type1,Type2
bulbasaur,Grass,Poison
ivysaur,Grass,Poison
venusaur,Grass,Poison
charmander,Fire,na
charmeleon,Fire,na
charizard,Fire,Flying
squirtle,Water,na
wartortle,Water,na
blastoise,Water,na
caterpie,Bug,na
metapod,Bug,na
butterfree,Bug,Flying
weedle,Bug,Poison
kakuna,Bug,Poison
beedrill,Bug,Poison
pidgey,Normal,Flying
pidgeotto,Normal,Flying
pidgeot,Normal,Flying
rattata,Normal,na
raticate,Normal,na
spearow,Normal,Flying
fearow,Normal,Flying
ekans,Poison,na
arbok,Poison,na
pikachu,Electric,na
raichu,Electric,na
sandshrew,Ground,na
sandslash,Ground,na
nidorina,Poison,na
nidoqueen,Poison,Ground
nidoran-m,Poison,na
nidorino,Poison,na
nidoking,Poison,Ground
clefairy,Fairy,na
clefable,Fairy,na
vulpix,Fire,na
ninetales,Fire,na
jigglypuff,Normal,Fairy
wigglytuff,Normal,Fairy
zubat,Poison,Flying
golbat,Poison,Flying
oddish,Grass,Poison
gloom,Grass,Poison
vileplume,Grass,Poison
paras,Bug,Grass
parasect,Bug,Grass
venonat,Bug,Poison
venomoth,Bug,Poison
diglett,Ground,na
dugtrio,Ground,na
meowth,Normal,na
persian,Normal,na
psyduck,Water,na
golduck,Water,na
mankey,Fighting,na
primeape,Fighting,na
growlithe,Fire,na
arcanine,Fire,na
poliwag,Water,na
poliwhirl,Water,na
poliwrath,Water,Fighting
abra,Psychic,na
kadabra,Psychic,na
alakazam,Psychic,na
machop,Fighting,na
machoke,Fighting,na
machamp,Fighting,na
bellsprout,Grass,Poison
weepinbell,Grass,Poison
victreebel,Grass,Poison
tentacool,Water,Poison
tentacruel,Water,Poison
geodude,Rock,Ground
graveler,Rock,Ground
golem,Rock,Ground
ponyta,Fire,na
rapidash,Fire,na
slowpoke,Water,Psychic
slowbro,Water,Psychic
magnemite,Electric,Steel
magneton,Electric,Steel
farfetchd,Normal,Flying
doduo,Normal,Flying
dodrio,Normal,Flying
seel,Water,na
dewgong,Water,Ice
grimer,Poison,na
muk,Poison,na
shellder,Water,na
cloyster,Water,Ice
gastly,Ghost,Poison
haunter,Ghost,Poison
gengar,Ghost,Poison
onix,Rock,Ground
drowzee,Psychic,na
hypno,Psychic,na
krabby,Water,na
kingler,Water,na
voltorb,Electric,na
electrode,Electric,na
exeggcute,Grass,Psychic
exeggutor,Grass,Psychic
cubone,Ground,na
marowak,Ground,na
hitmonlee,Fighting,na
hitmonchan,Fighting,na
lickitung,Normal,na
koffing,Poison,na
weezing,Poison,na
rhyhorn,Ground,Rock
rhydon,Ground,Rock
chansey,Normal,na
tangela,Grass,na
kangaskhan,Normal,na
horsea,Water,na
seadra,Water,na
goldeen,Water,na
seaking,Water,na
staryu,Water,na
starmie,Water,Psychic
mr-mime,Psychic,Fairy
scyther,Bug,Flying
jynx,Ice,Psychic
electabuzz,Electric,na
magmar,Fire,na
pinsir,Bug,na
tauros,Normal,na
magikarp,Water,na
gyarados,Water,Flying
lapras,Water,Ice
ditto,Normal,na
eevee,Normal,na
vaporeon,Water,na
jolteon,Electric,na
flareon,Fire,na
porygon,Normal,na
omanyte,Rock,Water
omastar,Rock,Water
kabuto,Rock,Water
kabutops,Rock,Water
aerodactyl,Rock,Flying
snorlax,Normal,na
articuno,Ice,Flying
zapdos,Electric,Flying
moltres,Fire,Flying
